CC,Operação,Descrição
12842191,participou,Bicycling
12842192,participou,Backgammon
12842193,fez,Beachcombing
12842194,fez,Base Jumping
12842195,fez,Backgammon
12842196,fez,Amateur Radio
12842197,fez,Beadwork
12842198,fez,Boomerangs
12842199,participou,Beachcombing
12842200,participou,Aquarium (Freshwater & Saltwater)
12842201,fez,Aquarium (Freshwater & Saltwater)
12842202,fez,Astronomy
12842203,participou,Arts
12842204,participou,Bell Ringing
12842205,fez,Airsofting
12842206,participou,Astronomy
12842207,participou,Acting
12842208,fez,Beachcombing
12842209,participou,Blacksmithing
12842210,fez,Bonsai Tree
12842211,participou,Badminton
12842212,participou,Amateur Radio
12842213,fez,Base Jumping
12842214,participou,Basketball
12842215,fez,Boomerangs
12842216,fez,Body Building
12842217,fez,Amateur Astronomy
12842218,fez,Aircraft Spotting
12842219,fez,Blogging
12842220,participou,Bicycling
12842221,fez,Aircraft Spotting
12842222,fez,Boomerangs
12842223,fez,Bicycle Polo
12842224,fez,Acting
12842225,fez,Beach/Sun tanning
12842226,participou,Beadwork
12842227,fez,Belly Dancing
12842228,fez,Archery
12842229,participou,Basketball
12842230,fez,Bicycling
12842231,participou,Beach/Sun tanning
12842232,participou,Animals/pets/dogs
12842233,fez,Boating
12842234,fez,Archery
12842235,participou,Basketball
12842236,participou,Amateur Astronomy
12842237,participou,Bell Ringing
12842238,fez,Amateur Astronomy
12842239,participou,Aquarium (Freshwater & Saltwater)
12842240,fez,Bicycling
12842241,participou,Amateur Radio
12842242,participou,Aquarium (Freshwater & Saltwater)
12842243,fez,Arts
12842244,participou,Beadwork
12842245,fez,Airsofting
12842246,fez,Body Building
12842247,participou,Bird watching
12842248,participou,Bookbinding
12842249,participou,Belly Dancing
12842250,fez,BoardGames
12842251,participou,Badminton
12842252,fez,Airbrushing
12842253,fez,Becoming A Child Advocate
12842254,fez,Badminton
12842255,fez,Arts
12842256,fez,Bicycling
12842257,fez,Body Building
12842258,participou,Bookbinding
12842259,participou,Beach/Sun tanning
12842260,participou,BoardGames
12842261,fez,Bicycle Polo
12842262,participou,Boating
12842263,fez,Boomerangs
12842264,fez,Blogging
12842265,participou,Blacksmithing
12842266,fez,BoardGames
12842267,fez,Base Jumping
12842268,participou,Animals/pets/dogs
12842269,fez,Astronomy
12842270,participou,Body Building
12842271,fez,Boomerangs
12842272,participou,Archery
12842273,fez,Aquarium (Freshwater & Saltwater)
12842274,fez,Badminton
12842275,participou,Backgammon
12842276,participou,Belly Dancing
12842277,fez,Bookbinding
12842278,participou,Bookbinding
12842279,fez,Bookbinding
12842280,fez,Airbrushing
12842281,participou,Baseball
12842282,fez,Acting
12842283,participou,Airsofting
12842284,fez,Body Building
12842285,participou,BoardGames
12842286,participou,Becoming A Child Advocate
12842287,fez,Beach/Sun tanning
12842288,fez,BMX
12842289,participou,Bell Ringing
